Instância,K-trimmed,,K-centrum,,Hurwicz,
,correlated,anticorrelated,correlated,anticorrelated,correlated,anticorrelated
30.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.6470
30.2,0.0000,0.0113,0.0000,0.0000,0.0000,0.0000
30.3,0.5000,0.0000,0.0822,0.0000,0.5000,0.0025
35.1,0.0000,0.0000,0.0000,0.0000,0.0045,0.0000
35.2,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000
35.3,0.0000,0.0000,0.5000,0.7861,0.0000,0.0000
40.1,0.5000,0.0000,0.0000,0.0000,0.0000,0.0003
40.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005
40.3,0.0000,0.0000,0.5000,0.2479,0.0000,0.0000
45.1,0.0000,0.0000,0.0000,0.2389,0.0028,0.0000
45.2,0.0000,0.0000,0.0000,0.8943,0.0000,0.0000
45.3,0.0000,0.0000,0.0003,0.1587,0.0000,0.9961
50.1,0.0000,0.0000,0.0000,0.0010,0.0000,0.0282
50.2,0.5000,0.0000,0.0000,0.0000,0.0000,0.1895
50.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.7855
100.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.1452
100.2,0.5000,0.0000,0.0000,0.0002,0.0000,0.0172
100.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.7962
200.1,0.5000,0.0000,0.0140,0.0000,0.0020,0.0152
200.2,0.0000,0.0000,0.0111,0.0000,0.0000,0.0066
200.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300.1,0.0000,0.9221,0.0000,0.0000,0.0000,0.0585
300.2,0.0000,0.0000,0.0000,0.0000,0.0282,0.0179
300.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
400.1,0.5000,0.0000,0.0028,0.0000,0.1538,0.1275
400.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0097
400.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.2081
500.1,0.5000,0.1720,0.0000,0.0000,0.0812,0.1976
500.2,0.5000,0.0000,0.0000,0.0000,0.0034,0.0036
500.3,0.0000,0.0000,0.0000,0.0001,0.0000,0.0034
600.1,0.5000,0.0000,0.0000,0.0007,0.0002,0.0103
600.2,0.0001,0.0000,0.0000,0.0000,0.0000,0.8145
600.3,0.0053,0.0000,0.0000,0.0000,0.0000,0.0459
700.1,0.0000,0.4296,0.0000,0.0000,0.0000,0.0085
700.2,0.1587,0.0000,0.0000,0.0000,0.0000,0.0207
700.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
800.1,0.0000,0.0000,0.0002,0.0000,0.0000,0.0007
800.2,0.0000,0.0000,0.0000,0.0000,0.0007,0.0405
800.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
900.1,0.0001,0.0000,0.0000,0.0001,0.0008,0.0074
900.2,0.5000,0.0000,0.0000,0.0000,0.0000,0.1170
900.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003
1000.1,0.0000,0.0000,0.0000,0.0000,0.0621,0.0008
1000.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
1000.3,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001
