Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
,OWA,Gap-solver,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana,OWA,Gap-solver,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana
30.1,,,,,,,,,,,,,,,,,,,,
30.2,,,,,,,,,,,,,,,,,,,,
30.3,,,,,,,,,,,,,,,,,,,,
35.1,,,,,,,,,,,,,,,,,,,,
35.2,,,,,,,,,,,,,,,,,,,,
35.3,,,,,,,,,,,,,,,,,,,,
40.1,,,,,,,,,,,,,,,,,,,,
40.2,,,,,,,,,,,,,,,,,,,,
40.3,,,,,,,,,,,,,,,,,,,,
45.1,,,,,,,,,,,,,,,,,,,,
45.2,,,,,,,,,,,,,,,,,,,,
45.3,,,,,,,,,,,,,,,,,,,,
50.1,,,,,,,,,,,,,,,,,,,,
50.2,,,,,,,,,,,,,,,,,,,,
50.3,,,,,,,,,,,,,,,,,,,,
100.1,,,,,,,,,,,,,,,,,,,,
100.2,,,,,,,,,,,,,,,,,,,,
100.3,,,,,,,,,,,,,,,,,,,,
200.1,,,,,,,,,,,,,,,,,,,,
200.2,,,,,,,,,,,,,,,,,,,,
200.3,,,,,,,,,,,,,,,,,,,,
300.1,,,,,,,,,,,,,,,,,,,,
300.2,,,,,,,,,,,,,,,,,,,,
300.3,,,,,,,,,,,,,,,,,,,,
400.1,,,,,,,,,,,,,,,,,,,,
400.2,,,,,,,,,,,,,,,,,,,,
400.3,,,,,,,,,,,,,,,,,,,,
500.1,,,,,,,,,,,,,,,,,,,,
500.2,,,,,,,,,,,,,,,,,,,,
500.3,,,,,,,,,,,,,,,,,,,,
600.1,,,,,,,,,,,,,,,,,,,,
600.2,,,,,,,,,,,,,,,,,,,,
600.3,,,,,,,,,,,,,,,,,,,,
700.1,,,,,,,,,,,,,,,,,,,,
700.2,,,,,,,,,,,,,,,,,,,,
700.3,,,,,,,,,,,,,,,,,,,,
800.1,,,,,,,,,,,,,,,,,,,,
800.2,,,,,,,,,,,,,,,,,,,,
800.3,,,,,,,,,,,,,,,,,,,,
900.1,,,,,,,,,,,,,,,,,,,,
900.2,,,,,,,,,,,,,,,,,,,,
900.3,,,,,,,,,,,,,,,,,,,,
1000.1,,,,,,,,,,,,,,,,,,,,
1000.2,,,,,,,,,,,,,,,,,,,,
1000.3,,,,,,,,,,,,,,,,,,,,
